,Estimate,Standard Error,t‐Statistic,P‐Value
a1,3.2523311098474483,0.08016247794702407,40.571738712927186,5.4731601247227505e-266
γ,1.7653826781106903,0.056266849759569915,31.375182468082503,2.0092892309615505e-177
f1,7.501898984555203,0.13869271218616336,54.09007341702002,8.60878967929e-400
w1,2947.1809328151635,0.13514873896238178,21806.94363441676,1.60991733215e-5605
n,0.3634682724741338,0.0022556589573300523,161.1361820868342,8.2589332079e-1182
n1,-0.9946189519466282,0.002613577216379996,-380.55847201034726,6.24656394685e-1934
γn,-0.2513286939828548,0.003779653811940912,-66.49516238467183,2.37591428111e-518
p,-0.5531854197873503,0.01928820632120973,-28.67998250200463,7.635658592324269e-153
R^2,0.9928504100436368,0,fitting target?,SamRefAVG
