WN,SamRefAVG,Err,fitdata
2750.,0.2706227734467281,0.02459662435289609,0.3656708206800297
2751.,0.28766093883719657,0.06646484188739836,0.36568619385829415
2752.,0.3527090022978282,0.10431063562935299,0.36570178033656175
2753.,0.3808622663558781,0.10028231407007028,0.3657175842701067
2754.,0.36385651735270386,0.04655312516761372,0.36573360991798265
2755.,0.3335158322209479,0.030811230743553592,0.36574986164618206
2756.,0.3586040560841262,0.05938288803441051,0.36576634393090895
2757.,0.35155437742347095,0.02443178192282154,0.3657830613619696
2758.,0.38331727618763284,0.02950683710764845,0.36580001864628636
2759.,0.3351164139398776,0.03855329350237304,0.36581722061154
2760.,0.35843707207875725,0.03134276111546737,0.3658346722099452
2761.,0.35276128443948346,0.06959357134728242,0.3658523785221658
2762.,0.36309268973180214,0.10015377037435198,0.3658703447613747
2763.,0.33273034584306854,0.05148477240407549,0.3658885762774658
2764.,0.316330870334735,0.032618738588010315,0.36590707856142335
2765.,0.3504066339800366,0.03760206405736199,0.3659258572498562
2766.,0.342923705448209,0.09888615570597707,0.36594491812970414
2767.,0.3476000551876379,0.09166672881182662,0.36596426714312336
2768.,0.3175023817250829,0.025052827650338456,0.3659839103925594
2769.,0.30296900261948007,0.06230646126161295,0.3660038541460157
2770.,0.2860339741805907,0.054988265121984174,0.3660241048425264
2771.,0.27743220259496637,0.028423883672735635,0.3660446690978425
2772.,0.2953626265769755,0.07286492549842692,0.3660655537103411
2773.,0.31600695094780235,0.08858988563892513,0.3660867656671678
2774.,0.300790691650527,0.06971682288570974,0.3661083121506226
2775.,0.3137639374903881,0.09866270669909366,0.36613020054480105
2776.,0.2912912534304911,0.09477208228864177,0.36615243844250145
2777.,0.3008170144042939,0.06460811114054389,0.36617503365241144
2778.,0.33120989688757657,0.10608549440400333,0.3661979942065862
2779.,0.34349496996281104,0.099224954907616,0.36622132836823273
2780.,0.3167272025280365,0.0659208160861826,0.3662450446398131
2781.,0.27973349760083005,0.08181790764198231,0.3662691517714842
2782.,0.3042491419436739,0.08236959727207163,0.3662936587698875
2783.,0.33709577121491785,0.1014468461173333,0.36631857490730746
2784.,0.34454805127173305,0.07444179772649447,0.3663439097312154
2785.,0.35628964458251144,0.12349887181159451,0.366369673074218
2786.,0.38396371993258765,0.06949879034098183,0.3663958750644302
2787.,0.39105168573824123,0.07990862799949068,0.36642252613629267
2788.,0.3787679853668831,0.041229362017886184,0.36644963704185723
2789.,0.3994854295749174,0.02816019388199386,0.36647721886256224
2790.,0.3653292724824736,0.07009081610094306,0.3665052830215229
2791.,0.3506,0.09455376457964523,0.36653384129636296
2792.,0.4027171920239096,0.07899579168839382,0.3665629058326146
2793.,0.412804155701885,0.0637776659349357,0.36659248915771575
2794.,0.36266836433702837,0.04656746084601315,0.36662260419563597
2795.,0.35854770089233157,0.10235400080522775,0.36665326428216277
2796.,0.32270532761788123,0.11559703285357228,0.3666844831808832
2797.,0.30197737469828195,0.10812448583414706,0.3667162750998972
2798.,0.2948776674287892,0.05089848455430122,0.36674865470930085
2799.,0.3084618142003665,0.03291649587366664,0.36678163715948175
2800.,0.3300048872047313,0.03735659476398941,0.36681523810026767
2801.,0.34691105516846427,0.04674891151916204,0.36684947370097726
2802.,0.36663957386771256,0.07640367209254192,0.36688436067141933
2803.,0.33901958653306424,0.11112203789324612,0.3669199162838942
2804.,0.29192007486796767,0.06541225500472186,0.36695615839625106
2805.,0.304059567091343,0.07032413979716792,0.3669931054760609
2806.,0.32831524209427565,0.0696181173092089,0.3670307766259662
2807.,0.3547310429185569,0.04375941179273274,0.3670691916102743
2808.,0.3522970802486007,0.04698730076906853,0.36710837088286447
2809.,0.3528434670969718,0.030060473790547007,0.36714833561648347
2810.,0.3837174786736624,0.08843023065614637,0.36718910773350943
2811.,0.38012317054364725,0.10268814445085775,0.3672307099382692
2812.,0.30031917971734146,0.07710829019099849,0.367273165750999
2813.,0.3204802453929037,0.06835457226033996,0.3673164995435455
2814.,0.32591522789888344,0.09201419981479995,0.36736073657690965
2815.,0.3718568134298594,0.10781328298191226,0.3674059030407435
2816.,0.36269024165819164,0.12293873462050364,0.3674520260949168
2817.,0.3370303071721458,0.03613005583921514,0.36749913391327865
2818.,0.34643260866981257,0.02558894073036949,0.3675472557297484
2819.,0.33494992185729117,0.07586880060150895,0.36759642188687763
2820.,0.2970430245892734,0.07784063354415612,0.3676466638870378
2821.,0.30676850150675605,0.054293236485410935,0.367698014446396
2822.,0.307014841657476,0.05216660992764413,0.367750507551854
2823.,0.33102781853606905,0.06353676064077764,0.36780417852113995
2824.,0.3293521489663728,0.048611673001594295,0.36785906406625196
2825.,0.32824293478260863,0.06472726675492745,0.367915202360471
2826.,0.3295903016957672,0.06460499378645587,0.3679726331091737
2827.,0.37671755475490665,0.06654267527807621,0.368031397624695
2828.,0.38512551232058395,0.07677014193275693,0.3680915389055061
2829.,0.3570134746783367,0.07716772034867636,0.368153101719997
2830.,0.351936199818607,0.09278140682642931,0.36821613269517034
2831.,0.3696318886481079,0.11531004816278727,0.3682806804105812
2832.,0.38649332826910066,0.08468745781014755,0.3683467954978785
2833.,0.4272540028173722,0.04337753344426387,0.36841453074633596
2834.,0.3797468942288237,0.054292704237979134,0.3684839412147864
2835.,0.3369732788116498,0.07040100344182842,0.3685550843504096
2836.,0.31307481032046636,0.08084529495853467,0.36862802011485707
2837.,0.3118528278448657,0.10111987384366816,0.3687028111182368
2838.,0.2984484791786606,0.08561234328295282,0.36877952276152437
2839.,0.3103790237610155,0.06396216433613695,0.368858223388011
2840.,0.3259156067705842,0.06087759864796438,0.3689389844444512
